               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062775,            0.032376,            0.035953,            0.056564,             0.42145,            0.073384,            0.023982,            0.019429,           0.0099686,             0.01531,            0.003316,            0.003316,            0.070156
                   1,            0.043464,            0.016486,            0.032527,             0.10597,             0.37285,             0.13577,            0.062259,            0.016344,           0.0061306,             0.01452,           0.0060509,           0.0060509,            0.039558
                   2,            0.041502,             0.01392,            0.032232,              0.1256,             0.59862,             0.18646,            0.084434,            0.015111,            0.004221,            0.013944,           0.0081858,           0.0081858,           0.0083594
                   3,            0.034535,            0.012224,            0.031953,             0.26809,             0.59564,             0.40346,             0.22511,            0.011888,           0.0040191,            0.012881,              0.0073,              0.0073,              0.0073
                   4,            0.032774,            0.010595,            0.030562,              0.2989,              0.6503,             0.47432,             0.24686,            0.012188,           0.0034564,            0.011511,              0.0073,              0.0073,              0.0073
                   5,            0.026727,           0.0095209,            0.028443,              0.3743,              0.6755,             0.55461,             0.33816,            0.010572,           0.0037413,            0.010477,              0.0064,              0.0064,              0.0064
                   6,            0.025338,           0.0089868,            0.027089,             0.38678,             0.77964,             0.62665,             0.43788,           0.0088739,           0.0030124,           0.0094568,              0.0055,              0.0055,              0.0055
                   7,            0.022297,            0.008549,            0.024897,             0.36411,              0.8689,             0.64975,             0.47872,           0.0084033,           0.0028085,           0.0088106,              0.0046,              0.0046,              0.0046
                   8,            0.021705,             0.00853,            0.024501,             0.48709,             0.83749,             0.69412,             0.52047,           0.0079148,           0.0026497,           0.0080435,              0.0037,              0.0037,              0.0037
                   9,            0.020521,           0.0080445,            0.023672,             0.50466,             0.90799,             0.72981,             0.57293,           0.0068501,           0.0026326,           0.0074872,              0.0028,              0.0028,              0.0028
